,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
0,1,Mac Jones,Alabama,SEC,13,311,402,77.4,4500,11.2,12.8,41,4,203.1,35,14,0.4,1
1,2,Kaleb Eleby,Western Michigan,MAC,6,99,153,64.7,1715,11.2,13.0,18,2,195.1,34,38,1.1,4
2,3,Zach Wilson,Brigham Young,Ind,12,247,336,73.5,3692,11.0,12.6,33,3,196.4,70,254,3.6,10
3,4,Layne Hatcher,Arkansas State,Sun Belt,11,116,194,59.8,2058,10.6,12.1,19,2,179.2,43,15,0.3,0
4,5,Dustin Crum,Kent State,MAC,4,83,113,73.5,1181,10.5,11.8,12,2,192.7,44,240,5.5,4
5,6,Sam Howell,North Carolina,ACC,12,237,348,68.1,3586,10.3,11.1,30,7,179.1,92,146,1.6,5
6,7,Matt Corral,Ole Miss,SEC,10,231,326,70.9,3337,10.2,10.1,29,14,177.6,112,506,4.5,4
7,8,Grayson McCall,Coastal Carolina,Sun Belt,11,172,250,68.8,2488,10.0,11.5,26,3,184.3,111,569,5.1,7
8,9,Kyle Trask,Florida,SEC,12,301,437,68.9,4283,9.8,10.9,43,8,180.0,64,50,0.8,3
9,10,Spencer Rattler,Oklahoma,Big 12,11,214,317,67.5,3031,9.6,10.3,28,7,172.6,81,160,2.0,6
10,11,Trevor Lawrence,Clemson,ACC,10,231,334,69.2,3153,9.4,10.2,24,5,169.2,68,203,3.0,8
11,12,Justin Fields,Ohio State,Big Ten,8,158,225,70.2,2100,9.3,10.1,22,6,175.6,81,383,4.7,5
12,13,Tyler Shough,Oregon,Pac-12,7,106,167,63.5,1559,9.3,9.3,13,6,160.4,66,271,4.1,2
13,14,Feleipe Franks,Arkansas,SEC,9,163,238,68.5,2107,8.9,9.5,17,4,163.1,105,204,1.9,1
14,15,Austin Aune,North Texas,CUSA,8,101,185,54.6,1650,8.9,9.4,13,4,148.4,27,29,1.1,2
15,16,Drew Plitt,Ball State,MAC,8,164,250,65.6,2164,8.7,8.9,17,6,156.0,80,49,0.6,4
16,17,Jake Haener,Fresno State,MWC,6,150,232,64.7,2021,8.7,8.9,14,5,153.4,57,18,0.3,3
17,18,Dillon Gabriel,UCF,American,10,248,413,60.0,3570,8.6,9.8,32,4,156.3,72,169,2.3,2
18,19,Malik Cunningham,Louisville,ACC,11,195,304,64.1,2617,8.6,8.1,20,12,150.3,131,609,4.6,7
19,20,Nick Starkel,San Jose State,MWC,8,163,254,64.2,2174,8.6,8.7,17,7,152.6,13,-40,-3.1,0
20,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
21,21,Kyle Vantrease,Buffalo,MAC,7,96,154,62.3,1326,8.6,8.6,7,3,145.8,11,38,3.5,4
22,22,Malik Willis,Liberty,Ind,10,170,265,64.2,2250,8.5,9.0,20,6,155.8,141,944,6.7,14
23,23,Shane Buechele,SMU,American,10,242,370,65.4,3095,8.4,8.9,23,6,152.9,58,105,1.8,2
24,24,Preston Hutchinson,Eastern Michigan,MAC,6,126,198,63.6,1662,8.4,8.2,12,6,148.1,87,206,2.4,8
25,25,Taulia Tagovailoa,Maryland,Big Ten,4,75,122,61.5,1011,8.3,6.9,7,7,138.5,26,44,1.7,2
26,26,Jayden Daniels,Arizona State,Pac-12,4,49,84,58.3,701,8.3,9.0,5,1,145.7,33,223,6.8,4
27,27,D'Eriq King,Miami (FL),ACC,11,211,329,64.1,2686,8.2,8.9,23,5,152.7,130,538,4.1,4
28,28,Desmond Ridder,Cincinnati,American,10,186,281,66.2,2296,8.2,8.6,19,6,152.9,98,592,6.0,12
29,29,Dylan Morris,Washington,Pac-12,4,67,110,60.9,897,8.2,7.7,4,3,136.0,17,57,3.4,2
30,30,Carson Strong,Nevada,MWC,9,249,355,70.1,2858,8.1,9.1,27,4,160.6,33,-95,-2.9,0
31,31,Sam Hartman,Wake Forest,ACC,9,159,273,58.2,2224,8.1,8.3,13,5,138.7,63,-1,0.0,2
32,32,Spencer Sanders,Oklahoma State,Big 12,9,155,247,62.8,2007,8.1,7.8,14,8,143.2,101,269,2.7,2
33,33,Brady White,Memphis,American,11,254,420,60.5,3380,8.0,8.5,31,10,147.7,63,88,1.4,2
34,34,Ian Book,Notre Dame,ACC,12,228,353,64.6,2830,8.0,8.5,15,3,144.3,116,485,4.2,9
35,35,Sam Ehlinger,Texas,Big 12,10,194,322,60.2,2566,8.0,8.9,26,5,150.7,113,377,3.3,8
36,36,Brennan Armstrong,Virginia,ACC,9,157,268,58.6,2117,7.9,7.4,18,11,138.9,126,552,4.4,5
37,37,Bailey Hockman,North Carolina State,ACC,10,171,266,64.3,2088,7.8,7.0,13,11,138.1,58,-22,-0.4,3
38,38,Kellen Mond,Texas A&M,SEC,10,188,297,63.3,2282,7.7,8.5,19,3,146.9,74,294,4.0,4
39,39,Levi Lewis,Louisiana,Sun Belt,11,177,297,59.6,2274,7.7,7.9,19,7,140.3,55,335,6.1,5
40,40,Grant Wells,Marshall,CUSA,10,165,270,61.1,2091,7.7,7.6,18,9,141.5,54,174,3.2,2
41,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
42,41,Desmond Trotter,South Alabama,Sun Belt,10,160,248,64.5,1917,7.7,7.9,11,4,140.9,84,3,0.0,2
43,42,Davis Mills,Stanford,Pac-12,5,129,195,66.2,1508,7.7,7.8,7,3,139.9,30,37,1.2,3
44,43,Phil Jurkovec,Boston College,ACC,10,205,336,61.0,2558,7.6,8.0,17,5,138.7,77,150,1.9,3
45,44,Stetson Bennett,Georgia,SEC,8,86,155,55.5,1179,7.6,6.9,8,6,128.7,24,54,2.3,2
46,45,Joe Milton,Michigan,Big Ten,6,80,141,56.7,1077,7.6,6.9,4,4,124.6,38,109,2.9,1
47,46,Brock Purdy,Iowa State,Big 12,12,243,365,66.6,2750,7.5,7.5,19,9,142.1,87,382,4.4,5
48,47,Cornelious Brown,Georgia State,Sun Belt,10,178,304,58.6,2278,7.5,7.1,17,10,133.4,98,301,3.1,7
49,48,Zac Thomas,Appalachian State,Sun Belt,12,186,291,63.9,2189,7.5,7.2,20,11,142.2,90,312,3.5,2
50,49,Sean Clifford,Penn State,Big Ten,9,152,251,60.6,1883,7.5,7.2,16,9,137.4,99,335,3.4,3
51,50,Max Duggan,TCU,Big 12,10,146,240,60.8,1795,7.5,7.6,10,4,134.1,116,526,4.5,10
52,51,Michael Penix Jr.,Indiana,Big Ten,6,124,220,56.4,1645,7.5,7.9,14,4,136.5,18,25,1.4,2
53,52,Tanner Morgan,Minnesota,Big Ten,7,106,183,57.9,1374,7.5,7.0,7,5,128.2,25,-35,-1.4,0
54,53,Chris Reynolds,Charlotte,CUSA,6,96,175,54.9,1305,7.5,7.9,8,2,130.3,50,36,0.7,0
55,54,Zach Smith,Tulsa,American,9,147,263,55.9,1947,7.4,6.7,13,10,126.8,36,-62,-1.7,0
56,55,Levi Williams,Wyoming,MWC,6,59,119,49.6,877,7.4,6.4,1,3,109.2,56,100,1.8,6
57,56,Patrick O'Brien,Colorado State,MWC,4,45,80,56.3,591,7.4,7.0,3,2,125.7,23,10,0.4,2
58,57,Kenny Pickett,Pitt,ACC,9,203,332,61.1,2408,7.3,6.8,13,9,129.6,81,145,1.8,8
59,58,Connor Bazelak,Missouri,SEC,10,218,324,67.3,2366,7.3,6.9,7,6,132.1,44,20,0.5,2
60,59,Kedon Slovis,USC,Pac-12,6,177,264,67.0,1921,7.3,7.4,17,7,144.1,23,-57,-2.5,0
61,60,Jeff Sims,Georgia Tech,ACC,10,141,257,54.9,1881,7.3,6.1,13,13,122.9,120,492,4.1,6
62,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
63,61,Clayton Tune,Houston,American,8,170,285,59.6,2048,7.2,6.7,15,10,130.4,72,253,3.5,5
64,62,Holton Ahlers,East Carolina,American,8,165,269,61.3,1927,7.2,7.0,18,9,136.9,54,109,2.0,1
65,63,Daniel Richardson,Central Michigan,MAC,5,63,99,63.6,714,7.2,7.1,4,2,133.5,14,-14,-1.0,1
66,64,Gunnar Watson,Troy,Sun Belt,9,211,301,70.1,2141,7.1,7.1,16,7,142.7,30,-66,-2.2,0
67,65,Logan Bonner,Arkansas State,Sun Belt,11,156,262,59.5,1863,7.1,7.5,18,6,137.4,34,25,0.7,0
68,66,Michael Pratt,Tulane,American,10,140,254,55.1,1806,7.1,7.3,20,8,134.5,115,229,2.0,8
69,67,Gavin Hardison,UTEP,CUSA,7,108,199,54.3,1419,7.1,6.5,5,5,117.4,25,-32,-1.3,0
70,68,Jake Bentley,Utah,Pac-12,5,77,124,62.1,882,7.1,5.9,6,6,128.1,34,113,3.3,1
71,69,Will Howard,Kansas State,Big 12,9,90,168,53.6,1178,7.0,5.3,8,10,116.3,78,364,4.7,3
72,70,Adrian Martinez,Nebraska,Big Ten,7,108,151,71.5,1055,7.0,6.6,4,3,135.0,91,521,5.7,7
73,71,Jarret Doege,West Virginia,Big 12,10,239,374,63.9,2587,6.9,7.2,14,4,132.2,40,-101,-2.5,2
74,72,Alan Bowman,Texas Tech,Big 12,8,150,232,64.7,1602,6.9,6.4,10,7,130.8,10,3,0.3,0
75,73,Jordan McCloud,South Florida,American,8,120,194,61.9,1341,6.9,7.4,9,2,133.2,62,74,1.2,1
76,74,Sam Noyer,Colorado,Pac-12,6,88,160,55.0,1101,6.9,5.7,6,7,116.4,52,208,4.0,5
77,75,Rocky Lombardi,Michigan State,Big Ten,6,84,157,53.5,1090,6.9,5.4,8,9,117.2,32,39,1.2,0
78,76,Jayden De Laura,Washington State,Pac-12,4,78,129,60.5,886,6.9,6.2,5,4,124.7,28,34,1.2,2
79,77,Bo Nix,Auburn,SEC,11,214,357,59.9,2415,6.8,6.6,12,7,123.9,108,388,3.6,7
80,78,Asher O'Hara,Middle Tennessee State,CUSA,9,192,287,66.9,1960,6.8,6.4,12,8,132.5,175,601,3.4,7
81,79,Brady McBride,Texas State,Sun Belt,9,173,282,61.3,1925,6.8,6.9,17,7,133.6,64,76,1.2,0
82,80,Chevan Cordeiro,Hawaii,MWC,9,195,313,62.3,2083,6.7,6.7,14,6,129.1,116,483,4.2,7
83,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
84,81,Ken Seals,Vanderbilt,SEC,9,186,288,64.6,1928,6.7,6.0,12,10,127.6,41,-52,-1.3,0
85,82,Luke Anthony,Louisiana Tech,CUSA,9,138,221,62.4,1479,6.7,7.1,16,5,138.0,49,-58,-1.2,1
86,83,Grant Gunnell,Arizona,Pac-12,4,64,93,68.8,625,6.7,7.0,6,2,142.3,23,22,1.0,0
87,84,Collin Hill,South Carolina,SEC,8,127,215,59.1,1411,6.6,5.9,6,6,117.8,43,-66,-1.5,4
88,85,Bryson Lucero,UAB,CUSA,7,79,146,54.1,969,6.6,5.1,7,8,114.7,8,-5,-0.6,0
89,86,Frank Harris,UTSA,CUSA,11,159,250,63.6,1630,6.5,6.4,12,6,129.4,95,528,5.6,9
90,87,Spencer Petras,Iowa,Big Ten,8,140,245,57.1,1569,6.4,6.2,9,5,119.0,32,-4,-0.1,2
91,88,Ross Bowers,Northern Illinois,MAC,6,123,212,58.0,1365,6.4,7.0,10,2,125.8,20,-59,-3.0,0
92,89,Graham Mertz,Wisconsin,Big Ten,7,118,193,61.1,1238,6.4,6.2,9,5,125.2,36,38,1.1,2
93,90,Chase Brice,Duke,ACC,11,193,352,54.8,2170,6.2,4.8,10,15,107.5,91,93,1.0,1
94,91,Colby Suits,Louisiana-Monroe,Sun Belt,8,151,248,60.9,1537,6.2,5.6,8,7,117.9,35,57,1.6,0
95,92,Charlie Brewer,Baylor,Big 12,9,198,321,61.7,1958,6.1,5.9,14,8,122.3,107,154,1.4,4
96,93,Peyton Ramsey,Northwestern,Big Ten,9,172,282,61.0,1733,6.1,5.7,12,8,121.0,84,247,2.9,3
97,94,Jonah Johnson,New Mexico State,Ind,2,36,60,60.0,358,6.0,4.1,1,3,105.6,19,80,4.2,2
98,95,Terry Wilson,Kentucky,SEC,10,125,200,62.5,1187,5.9,5.7,7,4,119.9,104,424,4.1,5
99,96,Zach Gibson,Akron,MAC,6,76,132,57.6,784,5.9,4.8,4,5,109.9,48,-44,-0.9,0
100,97,Matt McDonald,Bowling Green State,MAC,5,54,123,43.9,712,5.8,3.8,1,6,85.5,27,39,1.4,1
101,98,Will Rogers,Mississippi State,SEC,9,239,346,69.1,1976,5.7,5.4,11,7,123.5,30,-41,-1.4,1
102,99,Noah Vedral,Rutgers,Big Ten,7,136,221,61.5,1253,5.7,4.9,9,8,115.4,68,193,2.8,1
103,100,Chase Garbers,California,Pac-12,4,85,136,62.5,771,5.7,5.6,6,3,120.3,39,75,1.9,2
104,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
105,101,Tyrrell Pigrome,Western Kentucky,CUSA,11,171,297,57.6,1603,5.4,5.7,9,2,111.6,105,325,3.1,4
106,102,Rex Culpepper,Syracuse,ACC,10,94,190,49.5,1028,5.4,4.5,9,8,102.1,26,-64,-2.5,0
107,103,Nick Tronti,Florida Atlantic,CUSA,9,89,167,53.3,905,5.4,5.3,6,3,107.1,70,139,2.0,2
108,104,Max Gilliam,UNLV,MWC,6,89,148,60.1,786,5.3,4.8,5,4,110.5,62,252,4.1,2
109,105,Jalon Daniels,Kansas,Big 12,7,76,152,50.0,718,4.7,3.7,1,4,86.6,73,20,0.3,3
110,1,Grayson McCall,Coastal Carolina,Sun Belt,11,176,241,73.0,2873,11.9,13.6,27,3,207.6,93,290,3.1,4
111,2,C.J. Stroud,Ohio State,Big Ten,12,317,441,71.9,4435,10.1,11.4,44,6,186.6,32,-20,-0.6,0
112,3,Stetson Bennett,Georgia,SEC,14,185,287,64.5,2862,10.0,10.9,29,7,176.7,56,259,4.6,1
113,4,Hendon Hooker,Tennessee,SEC,13,206,303,68.0,2945,9.7,11.3,31,3,181.4,166,616,3.7,5
114,5,Dylan Hopkins,UAB,CUSA,13,155,235,66.0,2274,9.7,9.9,18,7,166.6,85,19,0.2,5
115,6,Adrian Martinez,Nebraska,Big Ten,11,189,306,61.8,2863,9.4,8.8,14,10,148.9,133,525,3.9,13
116,7,Kaleb Eleby,Western Michigan,MAC,13,230,362,63.5,3277,9.1,9.6,23,6,157.2,87,64,0.7,6
117,8,K.J. Jefferson,Arkansas,SEC,13,198,294,67.3,2676,9.1,9.9,21,4,164.7,146,664,4.5,6
118,9,Caleb Williams,Oklahoma,Big 12,11,136,211,64.5,1912,9.1,10.2,21,4,169.6,79,442,5.6,6
119,10,Gavin Hardison,UTEP,CUSA,13,198,357,55.5,3218,9.0,8.4,18,13,140.5,46,-44,-1.0,0
120,11,Tyler Van Dyke,Miami (FL),ACC,10,202,324,62.3,2931,9.0,9.8,25,6,160.1,53,57,1.1,1
121,12,Skylar Thompson,Kansas State,Big 12,10,162,233,69.5,2103,9.0,9.3,12,4,158.9,48,4,0.1,4
122,13,Max Duggan,TCU,Big 12,10,145,227,63.9,2048,9.0,9.2,16,6,157.6,105,352,3.4,3
123,14,Bryce Young,Alabama,SEC,15,366,547,66.9,4872,8.9,10.0,47,7,167.5,81,0,0.0,3
124,15,Brennan Armstrong,Virginia,ACC,11,326,500,65.2,4449,8.9,9.2,31,10,156.4,98,251,2.6,9
125,16,Brett Gabbert,Miami (OH),MAC,10,178,299,59.5,2648,8.9,9.7,26,6,158.6,54,147,2.7,1
126,17,Sam Howell,North Carolina,ACC,12,217,347,62.5,3056,8.8,9.0,24,9,154.2,183,828,4.5,11
127,18,Bailey Zappe,Western Kentucky,CUSA,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,51,17,0.3,3
128,19,Kenny Pickett,Pitt,ACC,13,334,497,67.2,4319,8.7,9.7,42,7,165.3,97,241,2.5,5
129,20,Matt Corral,Ole Miss,SEC,13,262,386,67.9,3349,8.7,9.1,20,5,155.3,152,614,4.0,11
130,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
131,21,Malik Cunningham,Louisville,ACC,13,209,337,62.0,2941,8.7,9.1,19,6,150.4,173,1031,6.0,20
132,22,Jaren Hall,Brigham Young,Ind,10,189,296,63.9,2583,8.7,9.3,20,5,156.1,62,307,5.0,3
133,23,Chase Brice,Appalachian State,Sun Belt,14,242,390,62.1,3337,8.6,8.7,27,11,151.1,71,149,2.1,3
134,24,Desmond Ridder,Cincinnati,American,14,251,387,64.9,3334,8.6,9.2,30,8,158.7,110,355,3.2,6
135,25,Max Bortenschlager,Florida International,CUSA,12,178,342,52.0,2935,8.6,8.1,19,12,135.5,50,-250,-5.0,1
136,26,Logan Bonner,Utah State,MWC,14,263,429,61.3,3628,8.5,8.9,36,12,154.4,69,66,1.0,0
137,27,Seth Henigan,Memphis,American,11,235,393,59.8,3322,8.5,8.8,25,8,147.7,80,147,1.8,0
138,28,Dorian Thompson-Robinson,UCLA,Pac-12,11,176,283,62.2,2409,8.5,9.0,21,6,153.9,130,609,4.7,9
139,29,Jake Haener,Fresno State,MWC,13,329,490,67.1,4096,8.4,8.9,33,9,155.9,71,5,0.1,3
140,30,Aidan O'Connell,Purdue,Big Ten,12,315,440,71.6,3712,8.4,8.6,28,11,158.5,25,-120,-4.8,1
141,31,Clayton Tune,Houston,American,14,287,420,68.3,3544,8.4,8.8,30,10,158.0,105,154,1.5,2
142,32,Dustin Crum,Kent State,MAC,14,244,381,64.0,3206,8.4,8.8,20,6,148.9,161,703,4.4,12
143,33,Malik Willis,Liberty,Ind,13,207,339,61.1,2857,8.4,8.4,27,12,151.1,197,878,4.5,13
144,34,Chance Nolan,Oregon State,Pac-12,13,204,318,64.2,2677,8.4,8.2,19,10,148.3,70,286,4.1,3
