,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
0,1,David Johnson,Tulsa,CUSA,14,258,400,64.5,4059,10.1,10.4,46,18,178.7,92,186,2.0,3
1,2,Sam Bradford,Oklahoma,Big 12,14,328,483,67.9,4720,9.8,11.1,50,8,180.8,42,47,1.1,5
2,3,Zac Robinson,Oklahoma State,Big 12,13,204,314,65.0,3064,9.8,9.9,25,10,166.8,146,562,3.8,8
3,4,Tim Tebow,Florida,SEC,14,192,298,64.4,2746,9.2,10.6,30,4,172.4,176,673,3.8,12
4,5,Nate Davis,Ball State,MAC,14,258,401,64.3,3591,9.0,9.4,26,8,157.0,66,312,4.7,5
5,6,Matthew Stafford,Georgia,SEC,13,235,383,61.4,3459,9.0,9.2,25,10,153.5,55,40,0.7,1
6,7,Colt McCoy,Texas,Big 12,13,332,433,76.7,3859,8.9,9.7,34,8,173.8,136,561,4.1,11
7,8,Mark Sanchez,USC,Pac-10,13,241,366,65.8,3207,8.8,9.4,34,10,164.6,52,16,0.3,3
8,9,Kellen Moore,Boise State,WAC,13,281,405,69.4,3486,8.6,8.7,25,10,157.1,38,-30,-0.8,1
9,10,Mike Teel,Rutgers,Big East,13,243,396,61.4,3418,8.6,8.4,25,13,148.1,24,-73,-3.0,2
10,11,Case Keenum,Houston,CUSA,13,397,589,67.4,5020,8.5,9.2,44,11,159.9,76,221,2.9,7
11,12,Joe Ganz,Nebraska,Big 12,13,285,420,67.9,3568,8.5,8.5,25,11,153.6,92,258,2.8,5
12,13,Chase Clement,Rice,CUSA,13,326,490,66.5,4119,8.4,9.6,44,7,163.9,154,693,4.5,12
13,14,Jevan Snead,Ole Miss,SEC,13,184,327,56.3,2762,8.4,8.2,26,13,145.5,57,60,1.1,3
14,15,Max Hall,Brigham Young,MWC,13,330,477,69.2,3957,8.3,8.4,35,14,157.2,65,115,1.8,4
15,16,Juice Williams,Illinois,Big Ten,12,219,381,57.5,3173,8.3,7.6,22,16,138.1,175,719,4.1,5
16,17,Adam Dimichele,Temple,MAC,9,134,231,58.0,1911,8.3,8.7,18,6,148.0,61,91,1.5,3
17,18,Graham Harrell,Texas Tech,Big 12,13,442,626,70.6,5111,8.2,9.0,45,9,160.0,41,-15,-0.4,6
18,19,Chase Daniel,Missouri,Big 12,14,385,528,72.9,4335,8.2,8.2,39,18,159.4,69,281,4.1,1
19,20,Daryll Clark,Penn State,Big Ten,13,192,321,59.8,2592,8.1,8.4,19,6,143.4,79,282,3.6,10
20,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
21,21,Todd Reesing,Kansas,Big 12,13,329,495,66.5,3888,7.9,8.0,32,13,148.5,126,224,1.8,4
22,22,Trevor Vittatoe,UTEP,CUSA,12,246,418,58.9,3274,7.8,8.4,33,9,146.4,45,-31,-0.7,1
23,23,Robert Griffin III,Baylor,Big 12,12,160,267,59.9,2091,7.8,8.4,15,3,142.0,173,843,4.9,13
24,24,Willie Tuitama,Arizona,Pac-10,13,259,399,64.9,3088,7.7,8.0,23,8,144.9,49,-120,-2.4,2
25,25,Josh Freeman,Kansas State,Big 12,12,224,382,58.6,2945,7.7,7.8,20,8,136.5,107,404,3.8,14
26,26,Billy Farris,Colorado State,MWC,13,233,379,61.5,2934,7.7,7.2,19,13,136.2,46,-34,-0.7,0
27,27,Matt Grothe,South Florida,Big East,13,240,380,63.2,2911,7.7,7.0,18,14,135.8,146,591,4.0,4
28,28,Boo Jackson,Ohio,MAC,12,185,306,60.5,2355,7.7,7.2,19,12,137.8,100,333,3.3,2
29,29,Corey Leonard,Arkansas State,Sun Belt,12,166,306,54.2,2347,7.7,7.5,16,8,130.7,157,516,3.3,4
30,30,Ricky Stanzi,Iowa,Big Ten,13,150,254,59.1,1956,7.7,7.2,14,9,134.8,56,20,0.4,0
31,31,Michael Desormeaux,Louisiana,Sun Belt,11,155,247,62.8,1876,7.6,6.6,13,11,135.0,144,1035,7.2,5
32,32,Brian Johnson,Utah,MWC,13,268,394,68.0,2972,7.5,7.9,27,9,149.4,108,128,1.2,1
33,33,Jerrod Johnson,Texas A&M,Big 12,12,194,326,59.5,2435,7.5,7.4,21,10,137.4,94,114,1.2,3
34,34,Chase Holbrook,New Mexico State,WAC,12,309,457,67.6,3361,7.4,7.1,25,14,141.3,81,-196,-2.4,2
35,35,Rusty Smith,Florida Atlantic,Sun Belt,13,234,435,53.8,3224,7.4,7.1,24,14,127.8,37,-82,-2.2,2
