,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
0,1,Kyler Murray,Oklahoma,Big 12,14,260,377,69.0,4361,11.6,13.0,42,7,199.2,140,1001,7.2,12
1,2,Tua Tagovailoa,Alabama,SEC,15,245,355,69.0,3966,11.2,12.8,43,6,199.4,57,190,3.3,5
2,3,Brock Purdy,Iowa State,Big 12,10,146,220,66.4,2250,10.2,10.3,16,7,169.9,100,308,3.1,5
3,4,Will Grier,West Virginia,Big 12,11,266,397,67.0,3864,9.7,10.7,37,8,175.5,48,-90,-1.9,3
4,5,Jordan Ta'amu,Ole Miss,SEC,12,266,418,63.6,3918,9.4,9.4,19,8,153.5,116,342,2.9,6
5,6,Ross Comis,Massachusetts,Ind,11,122,194,62.9,1799,9.3,10.0,14,3,161.5,86,255,3.0,6
6,7,McKenzie Milton,UCF,American,10,171,289,59.2,2663,9.2,10.0,25,6,161.0,79,307,3.9,9
7,8,Dwayne Haskins,Ohio State,Big Ten,14,373,533,70.0,4831,9.1,10.3,50,8,174.1,79,108,1.4,4
8,9,Jake Fromm,Georgia,SEC,14,206,306,67.3,2749,9.0,10.1,30,6,171.2,41,-27,-0.7,0
9,10,Nathan Rourke,Ohio,MAC,13,164,274,59.9,2434,8.9,9.2,23,8,156.3,134,860,6.4,15
10,11,Jordan Love,Utah State,MWC,13,267,417,64.0,3567,8.6,9.4,32,6,158.3,43,63,1.5,7
11,12,K.J. Costello,Stanford,Pac-12,13,269,413,65.1,3540,8.6,8.8,29,11,155.0,42,-20,-0.5,0
12,13,D'Eriq King,Houston,American,11,219,345,63.5,2982,8.6,9.9,36,6,167.0,111,674,6.1,14
13,14,Marcus McMaryion,Fresno State,MWC,14,293,427,68.6,3629,8.5,9.1,25,5,157.0,71,294,4.1,8
14,15,Brady White,Memphis,American,14,246,392,62.8,3296,8.4,8.7,26,9,150.7,53,-43,-0.8,1
15,16,James Morgan,Florida International,CUSA,12,213,326,65.3,2727,8.4,9.0,26,7,157.6,27,-19,-0.7,1
16,17,Ian Book,Notre Dame,Ind,10,214,314,68.2,2628,8.4,8.6,19,7,154.0,95,280,2.9,4
17,18,Chris Robison,Florida Atlantic,CUSA,12,192,304,63.2,2540,8.4,7.4,12,12,138.5,73,211,2.9,3
18,19,Khalil Tate,Arizona,Pac-12,11,170,302,56.3,2530,8.4,8.9,26,8,149.8,74,224,3.0,2
19,20,Brett Rypien,Boise State,MWC,13,301,447,67.3,3705,8.3,8.9,30,7,156.0,85,12,0.1,0
20,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
21,21,Trevor Lawrence,Clemson,ACC,15,259,397,65.2,3280,8.3,9.3,30,4,157.6,60,177,3.0,1
22,22,Taylor Cornelius,Oklahoma State,Big 12,13,288,485,59.4,3978,8.2,8.3,32,13,144.7,122,406,3.3,10
23,23,Jake Browning,Washington,Pac-12,14,252,388,64.9,3192,8.2,7.9,16,10,142.5,85,139,1.6,4
24,24,Jake Bentley,South Carolina,SEC,13,240,388,61.9,3171,8.2,7.9,27,14,146.3,65,78,1.2,2
25,25,Ryan Finley,North Carolina State,ACC,13,326,484,67.4,3928,8.1,8.1,25,11,148.0,42,21,0.5,1
26,26,Mason Fine,North Texas,CUSA,13,303,469,64.6,3793,8.1,8.8,27,5,149.4,69,20,0.3,2
27,27,Evan Orth,South Alabama,Sun Belt,10,145,222,65.3,1795,8.1,7.9,11,6,144.2,56,173,3.1,1
28,28,Cole McDonald,Hawaii,MWC,13,285,484,58.9,3875,8.0,8.6,36,10,146.5,134,359,2.7,4
29,29,David Blough,Purdue,Big Ten,13,305,462,66.0,3705,8.0,8.1,25,10,146.9,75,52,0.7,3
30,30,Drew Lock,Missouri,SEC,13,275,437,62.9,3498,8.0,8.5,28,8,147.7,55,175,3.2,6
31,31,Shea Patterson,Michigan,Big Ten,13,210,325,64.6,2600,8.0,8.4,22,7,149.8,76,273,3.6,2
32,32,Zac Thomas,Appalachian State,Sun Belt,12,159,254,62.6,2039,8.0,8.6,21,6,152.6,92,504,5.5,10
33,33,Justice Hansen,Arkansas State,Sun Belt,13,286,434,65.9,3447,7.9,8.3,27,9,149.0,133,411,3.1,6
34,34,Desmond Ridder,Cincinnati,American,13,194,311,62.4,2445,7.9,8.4,20,5,146.4,149,583,3.9,5
35,35,Andre Nunez,Louisiana,Sun Belt,14,182,287,63.4,2272,7.9,7.4,20,12,144.5,56,-15,-0.3,3
36,36,Justin Herbert,Oregon,Pac-12,13,240,404,59.4,3151,7.8,8.3,29,8,144.6,71,166,2.3,2
37,37,Jarrett Guarantano,Tennessee,SEC,12,153,246,62.2,1907,7.8,8.2,12,3,141.0,40,-94,-2.4,0
38,38,Sam Ehlinger,Texas,Big 12,14,275,425,64.7,3292,7.7,8.4,25,5,146.8,164,482,2.9,16
39,39,Tyree Jackson,Buffalo,MAC,14,225,407,55.3,3131,7.7,7.7,28,12,136.7,55,161,2.9,7
40,40,Kyle Shurmur,Vanderbilt,SEC,13,254,406,62.6,3130,7.7,8.2,24,6,143.9,39,-80,-2.1,0
41,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
42,41,Manny Wilkins,Arizona State,Pac-12,13,247,393,62.8,3025,7.7,8.0,20,6,141.2,112,452,4.0,8
43,42,Charlie Brewer,Baylor,Big 12,13,240,390,61.5,3019,7.7,7.7,19,9,138.0,133,375,2.8,7
44,43,Blake LaRussa,Old Dominion,CUSA,11,249,393,63.4,3015,7.7,7.5,19,10,138.7,51,-68,-1.3,1
45,44,Caleb Evans,Louisiana-Monroe,Sun Belt,12,231,374,61.8,2869,7.7,7.1,16,12,133.9,140,632,4.5,10
46,45,Eric Dungey,Syracuse,ACC,13,226,371,60.9,2868,7.7,7.6,18,9,137.0,184,754,4.1,15
47,46,Blake Barnett,South Florida,American,11,214,350,61.1,2705,7.7,7.0,12,11,131.1,107,301,2.8,8
48,47,Bryce Perkins,Virginia,ACC,13,225,349,64.5,2680,7.7,8.0,25,9,147.5,212,923,4.4,9
49,48,Jack Abraham,Southern Mississippi,CUSA,9,223,305,73.1,2347,7.7,7.2,15,10,147.4,49,-78,-1.6,1
50,49,Brent Stockstill,Middle Tennessee State,CUSA,14,326,464,70.3,3544,7.6,7.9,29,10,150.7,127,140,1.1,2
51,50,Joe Burrow,LSU,SEC,13,219,379,57.8,2894,7.6,7.9,16,5,133.2,128,399,3.1,7
52,51,Jarrett Stidham,Auburn,SEC,13,224,369,60.7,2794,7.6,7.9,18,5,137.7,72,1,0.0,3
53,52,Feleipe Franks,Florida,SEC,13,188,322,58.4,2457,7.6,8.3,24,6,143.4,110,350,3.2,7
54,53,K.J. Carta-Samuels,Colorado State,MWC,9,183,298,61.4,2261,7.6,7.5,19,9,140.1,45,-14,-0.3,1
55,54,Sheriron Jones,New Mexico,MWC,11,102,187,54.5,1417,7.6,6.1,13,12,128.3,79,286,3.6,0
56,55,Ty Gangi,Nevada,MWC,12,268,443,60.5,3331,7.5,7.3,24,13,135.7,51,146,2.9,3
57,56,Kellen Mond,Texas A&M,SEC,13,238,415,57.3,3107,7.5,7.7,24,9,135.0,149,474,3.2,7
58,57,Ryan Willis,Virginia Tech,ACC,12,213,364,58.5,2716,7.5,7.7,24,9,138.0,113,354,3.1,4
59,58,Adrian Martinez,Nebraska,Big Ten,11,224,347,64.6,2617,7.5,7.5,17,8,139.5,140,629,4.5,8
