,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Baker Mayfield*,Oklahoma,Big 12,13,254,358,70.9,3965,11.1,12.3,40,8,196.4,78,177,2.3,6,baker-mayfield-1
2,Mike White*,Western Kentucky,CUSA,14,280,416,67.3,4363,10.5,11.5,37,7,181.4,29,-74,-2.6,0,mike-white-6
3,Logan Woodside*,Toledo,MAC,13,289,418,69.1,4129,9.9,11.1,45,9,183.3,37,-40,-1.1,0,logan-woodside-1
4,Nick Stevens*,Colorado State,MWC,10,129,201,64.2,1936,9.6,10.4,19,5,171.3,15,53,3.5,2,nick-stevens-1
5,Zach Terrell*,Western Michigan,MAC,14,263,377,69.8,3533,9.4,10.6,33,4,175.2,80,249,3.1,7,zach-terrell-1
6,Ryan Higgins*,Louisiana Tech,CUSA,13,329,496,66.3,4617,9.3,10.2,41,8,168.6,88,277,3.1,4,ryan-higgins-1
7,Brett Rypien*,Boise State,MWC,13,244,394,61.9,3646,9.3,9.6,24,8,155.7,48,-16,-0.3,2,brett-rypien-1
8,Trace McSorley*,Penn State,Big Ten,14,224,387,57.9,3614,9.3,9.9,29,8,156.9,146,365,2.5,7,trace-mcsorley-1
9,Nathan Peterman*,Pitt,ACC,13,185,306,60.5,2855,9.3,10.1,27,7,163.4,72,286,4.0,3,nathan-peterman-1
10,Mason Rudolph*,Oklahoma State,Big 12,13,284,448,63.4,4091,9.1,10.0,28,4,158.9,83,61,0.7,6,mason-rudolph-1
11,Jake Browning*,Washington,Pac-12,14,243,391,62.1,3430,8.8,9.9,43,9,167.5,65,45,0.7,4,jake-browning-1
12,Lamar Jackson*,Louisville,ACC,13,230,409,56.2,3543,8.7,9.1,30,9,148.8,260,1571,6.0,21,lamar-jackson-1
13,Austin Allen*,Arkansas,SEC,13,245,401,61.1,3430,8.6,8.1,25,15,146.0,65,-126,-1.9,2,austin-allen-1
14,Josh Allen*,Wyoming,MWC,14,209,373,56.0,3203,8.6,8.3,28,15,144.9,142,523,3.7,7,josh-allen-7
15,Patrick Mahomes,Texas Tech,Big 12,12,388,591,65.7,5052,8.5,9.2,41,10,157.0,131,285,2.2,12,patrick-mahomes-1
16,Nick Mullens*,Southern Mississippi,CUSA,11,243,384,63.3,3272,8.5,8.5,24,11,149.8,51,-54,-1.1,4,nick-mullens-1
17,Quinton Flowers*,South Florida,American,13,207,331,62.5,2812,8.5,9.0,24,7,153.6,198,1530,7.7,18,quinton-flowers-1
18,Mitch Trubisky*,North Carolina,ACC,13,304,447,68.0,3748,8.4,9.1,30,6,157.9,93,308,3.3,5,mitch-trubisky-1
19,Jerod Evans*,Virginia Tech,ACC,14,268,422,63.5,3552,8.4,8.9,29,8,153.1,204,846,4.1,12,jerod-evans-1
20,Brad Kaaya*,Miami (FL),ACC,13,261,421,62.0,3532,8.4,8.9,27,7,150.3,37,-136,-3.7,1,brad-kaaya-1
21,Deondre Francois*,Florida State,ACC,13,235,400,58.8,3350,8.4,8.6,20,7,142.1,108,198,1.8,5,deondre-francois-1
22,Sam Darnold*,USC,Pac-12,13,246,366,67.2,3086,8.4,9.0,31,9,161.1,62,250,4.0,2,sam-darnold-1
23,Chad Kelly,Ole Miss,SEC,9,205,328,62.5,2758,8.4,8.5,19,8,147.4,81,332,4.1,5,chad-kelly-1
24,Riley Ferguson*,Memphis,American,13,280,443,63.2,3698,8.3,8.8,32,10,152.6,71,-70,-1.0,4,riley-ferguson-1
25,P.J. Walker*,Temple,American,14,230,395,58.2,3295,8.3,8.0,22,13,140.1,65,-100,-1.5,1,pj-walker-1
26,Joshua Dobbs*,Tennessee,SEC,13,225,357,63.0,2946,8.3,8.3,27,12,150.6,150,831,5.5,12,joshua-dobbs-1
27,David Washington*,Old Dominion,CUSA,13,202,340,59.4,2836,8.3,9.5,31,5,156.6,67,207,3.1,1,david-washington-4
28,Skyler Howard*,West Virginia,Big 12,13,247,404,61.1,3328,8.2,8.4,26,10,146.6,142,463,3.3,10,skyler-howard-1
29,DeShone Kizer,Notre Dame,Ind,12,212,361,58.7,2925,8.1,8.4,26,9,145.6,129,472,3.7,8,deshone-kizer-1
30,Sean White*,Auburn,SEC,11,133,208,63.9,1679,8.1,8.3,9,3,143.1,55,163,3.0,2,sean-white-3
31,Justice Hansen*,Arkansas State,Sun Belt,13,197,340,57.9,2719,8.0,8.1,19,8,138.9,79,131,1.7,1,justice-hansen-1
32,Jacob Park,Iowa State,Big 12,10,133,225,59.1,1791,8.0,8.0,12,5,139.1,36,59,1.6,1,jacob-park-1
33,Deshaun Watson*,Clemson,ACC,15,388,579,67.0,4593,7.9,8.0,41,17,151.1,165,629,3.8,9,deshaun-watson-1
34,Danny Etling*,LSU,SEC,11,160,269,59.5,2123,7.9,7.9,11,5,135.6,41,46,1.1,1,danny-etling-1
35,Christian Chapman*,San Diego State,MWC,14,153,251,61.0,1994,7.9,8.5,20,6,149.2,71,63,0.9,0,christian-chapman-1
36,Drew Lock,Missouri,SEC,12,237,434,54.6,3399,7.8,7.9,23,10,133.3,52,123,2.4,1,drew-lock-1
37,Brent Stockstill*,Middle Tennessee State,CUSA,10,262,414,63.3,3233,7.8,8.5,31,7,150.2,45,240,5.3,0,brent-stockstill-1
38,Dallas Davis*,South Alabama,Sun Belt,11,198,348,56.9,2706,7.8,6.9,11,12,125.7,91,245,2.7,3,dallas-davis-2
39,Zach Smith*,Baylor,Big 12,10,116,196,59.2,1526,7.8,7.5,13,7,139.3,25,-26,-1.0,1,zach-smith-6
40,Richard Lagow*,Indiana,Big Ten,13,253,438,57.8,3362,7.7,6.8,19,17,128.8,41,-188,-4.6,2,richard-lagow-1
41,Dane Evans*,Tulsa,American,13,259,435,59.5,3348,7.7,7.9,32,12,142.9,47,-29,-0.6,4,dane-evans-1
42,Matt Linehan*,Idaho,Sun Belt,13,257,415,61.9,3184,7.7,7.5,19,10,136.7,88,167,1.9,4,matt-linehan-1
43,Wilton Speight*,Michigan,Big Ten,12,204,331,61.6,2538,7.7,7.8,18,7,139.8,35,-60,-1.7,1,wilton-speight-1
44,Stephen Johnson*,Kentucky,SEC,12,145,265,54.7,2037,7.7,7.6,13,6,130.9,97,327,3.4,3,stephen-johnson-8
45,Greg Ward Jr.*,Houston,American,12,319,469,68.0,3557,7.6,7.3,22,13,141.7,197,518,2.6,10,greg-ward-jr-1
46,Cooper Rush*,Central Michigan,MAC,13,278,465,59.8,3540,7.6,7.1,23,16,133.2,68,-21,-0.3,1,cooper-rush-1
47,Ryan Finley*,North Carolina State,ACC,13,243,402,60.4,3059,7.6,7.6,18,8,135.2,74,94,1.3,1,ryan-finley-1
48,Shane Buechele,Texas,Big 12,12,236,391,60.4,2958,7.6,7.4,21,11,136.0,96,161,1.7,2,shane-buechele-1
49,Eric Dungey,Syracuse,ACC,9,230,355,64.8,2679,7.5,7.5,15,7,138.2,125,293,2.3,6,eric-dungey-1
50,Philip Nelson,East Carolina,American,10,237,349,67.9,2621,7.5,7.4,16,8,141.5,62,57,0.9,2,philip-nelson-1
51,Manny Wilkins,Arizona State,Pac-12,10,197,311,63.3,2329,7.5,7.0,12,9,133.2,128,246,1.9,5,manny-wilkins-1
52,Tyler O'Connor,Michigan State,Big Ten,11,154,262,58.8,1970,7.5,7.2,16,9,135.2,63,70,1.1,0,tyler-oconnor-1
53,Dru Brown*,Hawaii,MWC,13,209,335,62.4,2488,7.4,7.6,19,7,139.3,88,306,3.5,4,dru-brown-1
54,Jason Driskel,Florida Atlantic,CUSA,12,200,327,61.2,2415,7.4,6.4,9,11,125.6,80,242,3.0,4,jason-driskel-1
55,Sefo Liufau*,Colorado,Pac-12,12,200,319,62.7,2366,7.4,7.3,11,6,132.6,165,494,3.0,8,sefo-liufau-1
56,Kenny Potter,San Jose State,MWC,11,183,307,59.6,2273,7.4,7.0,16,10,132.5,136,322,2.4,7,kenny-potter-1
57,Tommy Armstrong Jr*,Nebraska,Big Ten,11,151,294,51.4,2180,7.4,7.1,14,8,123.9,113,512,4.5,8,tommy-armstrong-jr-1
58,Perry Hills*,Maryland,Big Ten,11,122,197,61.9,1464,7.4,7.7,12,4,140.4,91,93,1.0,4,perry-hills-1
59,Brandon Dawkins,Arizona,Pac-12,10,98,182,53.8,1348,7.4,6.8,8,6,124.0,131,944,7.2,10,brandon-dawkins-2
60,Kenny Hill*,TCU,Big 12,13,269,440,61.1,3208,7.3,6.7,17,13,129.2,125,609,4.9,10,kenny-hill-1
61,Jalen Hurts*,Alabama,SEC,15,240,382,62.8,2780,7.3,7.4,23,9,139.1,191,954,5.0,13,jalen-hurts-1
62,Andrew Ford,Massachusetts,Ind,10,222,365,60.8,2665,7.3,7.0,26,14,138.0,45,-96,-2.1,2,andrew-ford-1
63,Dalton Sturm*,UTSA,CUSA,13,169,299,56.5,2170,7.3,7.7,20,6,135.5,110,313,2.8,4,dalton-sturm-1
64,Brogan Roback*,Eastern Michigan,MAC,10,219,372,58.9,2694,7.2,7.4,18,7,131.9,63,223,3.5,2,brogan-roback-1
65,Conner Manning,Georgia State,Sun Belt,10,207,373,55.5,2684,7.2,6.5,16,13,123.1,27,-3,-0.1,2,conner-manning-1
66,Luke Falk*,Washington State,Pac-12,13,443,633,70.0,4468,7.1,7.5,38,11,145.6,66,-68,-1.0,0,luke-falk-1
67,Troy Williams*,Utah,Pac-12,13,207,390,53.1,2757,7.1,6.9,15,8,121.0,111,235,2.1,5,troy-williams-2
